Population,Murder,Rape,Robbery,Aggravated Assault,Breaking & Entering,Larceny Theft,Motor Vehicle Theft,"Violent Crime Rate per 100,000 People"
23785.0,0.0,11.0,19.0,107.0,267.0,533.0,33.0,576.0
35500.0,1.0,6.0,11.0,98.0,270.0,629.0,59.0,326.8
754292.0,33.0,240.0,1587.0,4340.0,5586.0,21270.0,3418.0,822.0
91927.0,0.0,18.0,19.0,96.0,122.0,678.0,40.0,144.7
22394.0,1.0,5.0,11.0,46.0,205.0,327.0,30.0,281.3
25452.0,1.0,6.0,14.0,47.0,91.0,224.0,4.0,267.2
81659.0,3.0,9.0,16.0,292.0,336.0,982.0,83.0,391.9
111234.0,2.0,20.0,51.0,224.0,545.0,1673.0,69.0,267.0
511145.0,18.0,109.0,810.0,1994.0,3419.0,14302.0,1581.0,573.4
679708.0,24.0,183.0,1092.0,5592.0,8617.0,21289.0,3064.0,1013.8
153138.0,0.0,33.0,52.0,268.0,620.0,2020.0,149.0,230.5
783389.0,95.0,265.0,2474.0,3827.0,7985.0,25755.0,8619.0,850.3
135495.0,1.0,23.0,107.0,360.0,683.0,2091.0,273.0,362.4
685948.0,38.0,308.0,2205.0,1962.0,11448.0,27030.0,4172.0,657.9
899994.0,32.0,145.0,977.0,950.0,3996.0,19733.0,3958.0,233.8
69699.0,1.0,19.0,42.0,169.0,313.0,926.0,59.0,331.4
111000.0,2.0,12.0,87.0,221.0,1025.0,2088.0,122.0,290.1
618385.0,318.0,299.0,5288.0,5210.0,7399.0,17278.0,5336.0,1797.4
18931.0,0.0,1.0,4.0,53.0,108.0,230.0,8.0,306.4
681610.0,42.0,397.0,2400.0,2576.0,9784.0,19705.0,4574.0,794.4
97877.0,3.0,42.0,80.0,272.0,1037.0,3282.0,385.0,405.6
173047.0,4.0,36.0,40.0,269.0,523.0,2085.0,104.0,201.7
156234.0,3.0,23.0,120.0,435.0,539.0,2200.0,207.0,371.9
37667.0,1.0,21.0,28.0,212.0,443.0,1921.0,98.0,695.6
109397.0,2.0,17.0,82.0,291.0,918.0,2027.0,127.0,358.3
19936.0,1.0,7.0,19.0,86.0,158.0,234.0,25.0,566.8
31790.0,1.0,16.0,15.0,122.0,285.0,734.0,54.0,484.4
115933.0,1.0,18.0,111.0,220.0,850.0,1868.0,177.0,301.9
109767.0,7.0,22.0,70.0,348.0,889.0,2075.0,141.0,407.2
79655.0,3.0,5.0,20.0,114.0,669.0,1425.0,93.0,178.3
31361.0,2.0,7.0,19.0,126.0,265.0,739.0,29.0,491.1
102068.0,5.0,26.0,86.0,319.0,806.0,1958.0,111.0,427.2
96281.0,9.0,27.0,103.0,472.0,710.0,2488.0,447.0,634.6
167468.0,0.0,33.0,48.0,150.0,414.0,1578.0,52.0,137.9
25496.0,4.0,6.0,10.0,65.0,250.0,601.0,39.0,333.4
150208.0,5.0,35.0,124.0,732.0,894.0,3160.0,248.0,596.5
24057.0,1.0,11.0,13.0,155.0,259.0,465.0,44.0,748.2
36673.0,1.0,13.0,11.0,52.0,73.0,382.0,9.0,210.0
29749.0,0.0,8.0,1.0,23.0,181.0,363.0,25.0,107.6
289807.0,6.0,33.0,215.0,354.0,1110.0,5094.0,374.0,209.8
30800.0,3.0,18.0,34.0,136.0,928.0,1821.0,126.0,620.1
643363.0,26.0,169.0,751.0,3229.0,8868.0,22326.0,2892.0,648.9
792855.0,32.0,154.0,1471.0,2898.0,4316.0,19536.0,2443.0,574.5
32927.0,1.0,10.0,21.0,110.0,271.0,825.0,48.0,431.3
634549.0,234.0,137.0,4058.0,5703.0,7880.0,17635.0,5518.0,1596.7
29696.0,1.0,2.0,2.0,44.0,158.0,299.0,26.0,165.0
151550.0,2.0,22.0,77.0,312.0,1155.0,2605.0,236.0,272.5
18134.0,0.0,5.0,5.0,49.0,135.0,270.0,14.0,325.4
95757.0,10.0,32.0,183.0,505.0,1124.0,2604.0,139.0,762.3
577904.0,20.0,159.0,438.0,1220.0,1143.0,8742.0,659.0,317.9
34294.0,5.0,22.0,34.0,191.0,818.0,2344.0,108.0,734.8
829560.0,28.0,352.0,1337.0,3135.0,2612.0,16882.0,1847.0,584.9
102033.0,3.0,25.0,70.0,275.0,526.0,1927.0,153.0,365.6
146708.0,6.0,32.0,138.0,307.0,1837.0,3326.0,241.0,329.2
33170.0,1.0,6.0,14.0,24.0,111.0,369.0,18.0,135.7
19353.0,4.0,3.0,2.0,44.0,266.0,347.0,31.0,273.9
29092.0,2.0,11.0,10.0,138.0,207.0,606.0,48.0,553.4
473811.0,7.0,117.0,631.0,1813.0,3525.0,13432.0,1529.0,542.0
