population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,crime_level
19664,0,6,22,50,131,170,3,1
37221,0,18,16,49,150,544,14,0
32243,1,13,17,159,218,810,52,1
144219,7,38,137,324,679,2338,240,0
154633,2,23,148,373,507,2387,157,0
29991,2,7,3,51,156,346,22,0
36063,0,7,29,76,174,755,37,0
36983,0,14,9,86,71,290,7,0
73834,4,28,63,154,547,1787,54,0
817761,23,147,1368,2643,4079,17978,1572,1
27035,1,13,6,39,150,325,40,0
126701,5,27,70,265,755,1948,180,0
36329,0,15,8,57,160,562,60,0
87492,4,12,12,294,374,1110,68,0
102475,5,25,148,321,542,2366,96,1
703563,24,278,2151,5221,8308,24893,5913,1
313717,2,69,226,426,787,4321,208,0
18550,0,5,9,71,155,278,23,1
107514,0,25,35,272,640,1510,126,0
255406,7,38,218,210,1294,5469,619,0
19592,0,3,14,24,89,158,6,0
59799,3,14,23,149,542,1229,69,0
186946,6,45,116,436,1435,3666,349,0
75974,1,22,45,381,735,1321,121,1
76925,1,12,16,333,483,1749,97,1
639927,223,266,3361,5502,7646,16626,4421,1
53726,2,18,27,185,836,1180,145,1
29772,0,12,10,195,205,512,44,1
25963,2,6,12,76,211,424,29,0
49082,0,23,63,346,360,1798,93,1
34871,4,12,6,119,372,712,42,1
662253,315,470,7718,7605,13279,36853,7375,1
39694,2,29,45,267,366,1965,93,1
57261,4,11,43,95,543,1218,109,0
121601,1,21,110,269,1262,3749,332,0
834727,35,326,1536,3166,3128,18178,2029,1
150897,1,36,58,338,655,2275,142,0
99909,1,15,45,266,616,1605,128,0
24747,0,18,16,90,193,402,35,1
26226,2,8,14,47,126,371,17,0
48932,2,5,22,87,247,576,22,0
32500,1,10,9,94,212,479,29,0
27553,1,11,2,85,226,260,31,0
67202,4,12,35,233,704,2093,173,1
71622,5,16,65,159,388,1642,44,0
152673,2,39,86,667,868,3062,215,1
717879,31,288,2180,4761,7353,24678,6289,1
77221,6,31,50,332,958,1447,86,1
787558,31,152,1730,3018,4448,19661,2940,1
76175,1,20,15,282,511,1580,60,1
26502,1,1,5,35,210,389,34,0
347538,16,118,396,656,5091,10783,1436,0
34904,2,6,5,129,306,584,42,1
145781,3,15,116,308,701,2234,246,0
27369,0,3,2,49,192,348,24,0
51304,0,12,24,88,215,1178,34,0
48773,0,7,21,81,196,540,18,0
172506,4,40,141,555,812,3222,267,1
97748,1,16,24,217,548,1561,92,0
25916,2,4,18,103,270,577,37,1
23836,0,7,9,54,221,364,24,0
90403,1,14,15,110,238,905,41,0
76043,1,22,29,268,426,1805,119,1
27637,5,8,16,113,215,635,33,1
30134,2,9,21,157,203,612,37,1
35600,2,18,33,254,624,2047,121,1
102783,3,15,69,235,479,1549,143,0
92622,1,15,13,111,99,574,53,0
75413,3,22,42,201,571,1904,67,0
19197,0,3,14,41,141,196,13,0
702944,101,420,2856,3532,10190,22538,10035,1
50047,0,21,42,338,321,1725,92,1
73530,2,19,47,242,675,2231,144,1
122120,6,20,76,443,898,2344,173,1
49347,2,25,59,337,427,1581,101,1
19116,0,5,5,17,37,108,2,0
150927,8,49,84,336,362,1277,133,0
19970,1,5,10,100,283,269,28,1
25481,2,17,16,80,145,332,15,1
39686,2,11,10,161,355,586,46,1
89458,4,34,211,674,1080,2846,205,1
73125,9,42,109,550,896,2171,166,1
252641,3,57,103,370,364,2519,107,0
48884,2,20,42,284,424,1794,106,1
128265,1,23,88,318,698,2251,222,0
225262,5,45,237,554,1150,4477,438,0
724348,23,256,2482,4572,7266,25894,4185,1
20388,0,3,9,53,165,209,16,0
87121,1,32,172,518,958,2407,144,1
727051,30,190,1708,4171,6194,20975,2953,1
757027,25,204,863,1106,4973,20295,3023,0
60281,10,12,39,102,777,1828,129,0
700068,33,225,1810,5240,8468,21519,4480,1
48088,0,12,9,96,206,681,30,0
26593,3,9,9,54,147,338,9,0
90882,1,14,38,268,457,1289,127,0
739180,321,639,11303,8748,16026,43636,13603,1
91587,2,12,14,79,151,743,57,0
48839,0,7,14,95,131,456,17,0
783542,240,660,8008,6369,14388,30796,6884,1
31079,3,4,22,135,366,914,46,1
30549,6,6,15,142,347,842,53,1
81735,3,32,54,250,619,1838,104,1
243988,4,60,228,592,809,3482,251,0
27063,3,7,15,96,256,509,36,1
19795,0,7,10,61,77,196,21,1
671028,253,179,4764,8667,8814,27301,6572,1
376525,19,83,420,844,4614,11667,1128,0
692703,24,194,1661,4714,8703,24059,4606,1
145349,2,35,171,505,707,2715,290,1
51606,0,12,24,94,186,1086,30,0
69972,0,16,12,220,340,973,69,0
17266,2,3,6,36,108,237,22,0
