year,population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,grand_total,violent_crime_total,violent_crime_percent,property_crime_totals,property_crime_percent,overall_crime_rate_per_100_000_people,violent_crime_rate_per_100_000_people,property_crime_rate_per_100_000_people,murder_per_100_000_people,rape_per_100_000_people,robbery_per_100_000_people,agg_assault_per_100_000_people,b_e_per_100_000_people,larceny_theft_per_100_000_people,m_v_theft_per_100_000_people
1999,19061,3,2,7,31,139,169,17,368,43,11.7,325,88.3,1930.6,225.6,1705.1,15.7,10.5,36.7,162.6,729.2,886.6,89.2
1989,72922,3,19,28,323,635,1285,204,2497,373,14.9,2124,85.1,3424.2,511.5,2912.7,4.1,26.1,38.4,442.9,870.8,1762.2,279.8
2014,26270,0,9,14,48,144,310,10,535,71,13.3,464,86.7,2036.5,270.3,1766.3,0.0,34.3,53.3,182.7,548.2,1180.1,38.1
2003,840833,135,287,4148,3439,8483,26952,17628,61072,8009,13.1,53063,86.9,7263.3,952.5,6310.8,16.1,34.1,493.3,409.0,1008.9,3205.4,2096.5
2012,32955,1,15,35,114,296,799,49,1309,165,12.6,1144,87.4,3972.1,500.7,3471.4,3.0,45.5,106.2,345.9,898.2,2424.5,148.7
2016,157065,6,38,139,381,396,2018,167,3145,564,17.9,2581,82.1,2002.4,359.1,1643.3,3.8,24.2,88.5,242.6,252.1,1284.8,106.3
2005,19731,1,4,15,69,87,194,24,394,89,22.6,305,77.4,1996.9,451.1,1545.8,5.1,20.3,76.0,349.7,440.9,983.2,121.6
2005,237388,2,30,193,620,961,3591,359,5756,845,14.7,4911,85.3,2424.7,356.0,2068.8,0.8,12.6,81.3,261.2,404.8,1512.7,151.2
1994,449440,11,132,692,1287,3644,13281,1806,20853,2122,10.2,18731,89.8,4639.8,472.1,4167.6,2.4,29.4,154.0,286.4,810.8,2955.0,401.8
2005,219311,1,30,148,557,672,2652,197,4257,736,17.3,3521,82.7,1941.1,335.6,1605.5,0.5,13.7,67.5,254.0,306.4,1209.2,89.8
1992,124602,2,30,71,289,686,1956,164,3198,392,12.3,2806,87.7,2566.6,314.6,2252.0,1.6,24.1,57.0,231.9,550.6,1569.8,131.6
2001,122336,9,39,135,592,670,2848,392,4685,775,16.5,3910,83.5,3829.6,633.5,3196.1,7.4,31.9,110.4,483.9,547.7,2328.0,320.4
1999,29700,3,17,14,221,256,572,65,1148,255,22.2,893,77.8,3865.3,858.6,3006.7,10.1,57.2,47.1,744.1,862.0,1925.9,218.9
1992,34850,2,4,11,122,296,551,40,1026,139,13.5,887,86.5,2944.0,398.9,2545.2,5.7,11.5,31.6,350.1,849.4,1581.1,114.8
2011,168719,1,26,40,189,517,1856,94,2723,256,9.4,2467,90.6,1613.9,151.7,1462.2,0.6,15.4,23.7,112.0,306.4,1100.1,55.7
1988,71380,4,23,37,327,728,1332,182,2633,391,14.8,2242,85.2,3688.7,547.8,3140.9,5.6,32.2,51.8,458.1,1019.9,1866.1,255.0
2012,90118,2,8,22,83,400,1255,45,1815,115,6.3,1700,93.7,2014.0,127.6,1886.4,2.2,8.9,24.4,92.1,443.9,1392.6,49.9
1980,23148,2,10,7,81,159,344,24,627,100,15.9,527,84.1,2708.7,432.0,2276.7,8.6,43.2,30.2,349.9,686.9,1486.1,103.7
1996,30820,0,15,32,154,305,873,74,1453,201,13.8,1252,86.2,4714.5,652.2,4062.3,0.0,48.7,103.8,499.7,989.6,2832.6,240.1
1978,117027,1,30,102,395,1167,3565,399,5659,528,9.3,5131,90.7,4835.6,451.2,4384.5,0.9,25.6,87.2,337.5,997.2,3046.3,340.9
2004,164663,0,47,48,320,456,1878,151,2900,415,14.3,2485,85.7,1761.2,252.0,1509.1,0.0,28.5,29.2,194.3,276.9,1140.5,91.7
1993,161295,4,48,103,758,900,2918,261,4992,913,18.3,4079,81.7,3095.0,566.0,2528.9,2.5,29.8,63.9,469.9,558.0,1809.1,161.8
1980,16680,0,2,6,43,166,370,22,609,51,8.4,558,91.6,3651.1,305.8,3345.3,0.0,12.0,36.0,257.8,995.2,2218.2,131.9
2011,99669,4,25,106,448,893,2381,111,3968,583,14.7,3385,85.3,3981.2,584.9,3396.2,4.0,25.1,106.4,449.5,896.0,2388.9,111.4
1994,28406,2,7,9,65,180,439,38,740,83,11.2,657,88.8,2605.1,292.2,2312.9,7.0,24.6,31.7,228.8,633.7,1545.4,133.8
2000,84644,4,35,132,601,877,2613,193,4455,772,17.3,3683,82.7,5263.2,912.1,4351.2,4.7,41.3,155.9,710.0,1036.1,3087.0,228.0
2006,239914,9,36,202,579,990,3332,437,5585,826,14.8,4759,85.2,2327.9,344.3,1983.6,3.8,15.0,84.2,241.3,412.6,1388.8,182.1
2000,489656,11,117,646,2610,3147,13402,1398,21331,3384,15.9,17947,84.1,4356.3,691.1,3665.2,2.2,23.9,131.9,533.0,642.7,2737.0,285.5
1977,827494,171,499,7574,6075,15463,32315,6213,68310,14319,21.0,53991,79.0,8255.0,1730.4,6524.6,20.7,60.3,915.3,734.1,1868.7,3905.2,750.8
2008,71806,1,17,34,188,517,1657,49,2463,240,9.7,2223,90.3,3430.1,334.2,3095.8,1.4,23.7,47.3,261.8,720.0,2307.6,68.2
2006,930123,19,145,1261,879,3932,17466,2640,26342,2304,8.7,24038,91.3,2832.1,247.7,2584.4,2.0,15.6,135.6,94.5,422.7,1877.8,283.8
2004,31136,0,12,10,124,204,558,77,985,146,14.8,839,85.2,3163.5,468.9,2694.6,0.0,38.5,32.1,398.3,655.2,1792.1,247.3
1995,62626,4,22,8,203,338,932,52,1559,237,15.2,1322,84.8,2489.4,378.4,2110.9,6.4,35.1,12.8,324.1,539.7,1488.2,83.0
2016,913206,88,277,1534,1620,2951,14389,3371,24230,3519,14.5,20711,85.5,2653.3,385.3,2267.9,9.6,30.3,168.0,177.4,323.1,1575.7,369.1
1978,582458,12,122,595,598,5932,17044,1731,26034,1327,5.1,24707,94.9,4469.7,227.8,4241.9,2.1,20.9,102.2,102.7,1018.4,2926.2,297.2
2006,848440,130,287,4094,3970,6903,26171,12944,54499,8481,15.6,46018,84.4,6423.4,999.6,5423.8,15.3,33.8,482.5,467.9,813.6,3084.6,1525.6
2006,512277,23,110,943,2091,3420,12217,1654,20458,3167,15.5,17291,84.5,3993.5,618.2,3375.3,4.5,21.5,184.1,408.2,667.6,2384.8,322.9
2013,555330,15,71,630,1603,2522,11272,677,16790,2319,13.8,14471,86.2,3023.4,417.6,2605.8,2.7,12.8,113.4,288.7,454.1,2029.8,121.9
1980,30303,4,16,30,147,874,1927,127,3125,197,6.3,2928,93.7,10312.5,650.1,9662.4,13.2,52.8,99.0,485.1,2884.2,6359.1,419.1
2011,542753,15,91,597,1972,2259,11394,832,17160,2675,15.6,14485,84.4,3161.7,492.9,2668.8,2.8,16.8,110.0,363.3,416.2,2099.3,153.3
2020,50510,0,8,8,78,57,267,19,437,94,21.5,343,78.5,865.2,186.1,679.1,0.0,15.8,15.8,154.4,112.8,528.6,37.6
1995,29582,1,5,0,51,139,363,35,594,57,9.6,537,90.4,2008.0,192.7,1815.3,3.4,16.9,0.0,172.4,469.9,1227.1,118.3
2009,20351,1,1,14,70,130,195,13,424,86,20.3,338,79.7,2083.4,422.6,1660.9,4.9,4.9,68.8,344.0,638.8,958.2,63.9
1976,25784,1,6,23,52,265,598,20,965,82,8.5,883,91.5,3742.6,318.0,3424.6,3.9,23.3,89.2,201.7,1027.8,2319.3,77.6
1994,30737,0,8,23,167,329,834,47,1408,198,14.1,1210,85.9,4580.8,644.2,3936.6,0.0,26.0,74.8,543.3,1070.4,2713.3,152.9
